marketplace	customer_id	review_id	product_id	product_parent	product_title	product_category	star_rating	helpful_votes	total_votes	vine	verified_purchase	review_headline	review_body	review_date	helpful_total_ratio	review_month
US	30948103	RWMEEVC97HUNG	B003FBG88E	195677102	conair pro styler ionic conditioning hair dryer	Beauty	5	0	0	N	Y	great blow dryer	live this hairdryer	2015-08-29	NaN	2015-08-01
US	43455810	R3GR9RB60NKBG0	B0012DL8B4	897437023	conair vagabond folding handle 1875 watt compact hair dryer 1 ea	Beauty	5	0	0	N	Y	five stars	perfect for travel	2015-08-29	NaN	2015-08-01
US	45009431	RTYQK30NMOCM6	B001BOFIRO	26711891	andis tourmaline ionic/ceramic 1875 watt hair dryer	Beauty	1	0	0	N	Y	hot air	ive had this blow dryer for just over a year and it finally started smoking and sparking so bad i believe it would have caught on fire if i didnt turn it off for the last 6months if not longer ive noticed that when i 1st turn it on it smells really hot and the air flow is very low but after fiddling with the heat controls and the cool button it will gradually begin to blow at the normal flow ive used cheaper blow dryers in the past that i get a minimum of 35 yrs out of its the weekend and andis is closed but ill attempt to contact them to see if there is anything that they are willing to do refundrepair or even replace this unit please note that on their website over half of their blow dryers seem to be discontinued hmm wonder why ill update my review once i hear or dont hear back from this company	2015-08-29	NaN	2015-08-01
US	16030865	R3GELVX38EM91L	B000RZLL38	983445543	oster tourmaline wall mount hair dryer 76932-710	Beauty	5	0	0	N	Y	works just like the ones in the hotels	so handy works great frees up counter top space in my small bathroom	2015-08-29	NaN	2015-08-01
US	28248079	ROMFVXSLZP6HW	B003V264WW	732252283	remington ac2015 t|studio salon collection pearl ceramic hair dryer, deep purple	Beauty	5	0	0	N	Y	i am obsessed	after using the same blowdryer for probably 810years i decided to upgrade to a new one i have very thick very thick moderately wavy shoulder length hair due to my hair thickness drying times were typically 3045minutes i wish i was joking this dryer dries completely in under 15 minutes about 1012minutes more precisely i am so thrilled with this dryer cant say enough good things about it i like the texture of the dryer itself love the speed of drying and the cord is long enough to actually be able to use it score	2015-08-29	NaN	2015-08-01
US	15040037	R1MNTJKIK8FETW	B0001B86HM	805407843	conair pro styler bonnet hair dryer, white	Beauty	5	0	0	N	Y	works great just wish it had a medium setting	works great just wish it had a medium setting	2015-08-29	NaN	2015-08-01
US	39094191	R1PVX4QFWHMCWO	B003FBG88E	195677102	conair pro styler ionic conditioning hair dryer	Beauty	5	0	0	N	Y	no complaints	i blowdry my hair at least 3 times a week and i was using a really really old cheap bulky one to get the job done this dryer gets the job done a lot better its smaller lighter more ergonomic if you will and dries my long thick hair not always a good thing reasonably quick great purchase as long as it lasts as long as my old ones did	2015-08-29	NaN	2015-08-01
US	48907213	R3QWLLEFDJAE1S	B0002G214U	685652978	conair soft bonnet hair dryer 1 ea	Beauty	2	0	0	N	Y	two stars	bonnet is too small	2015-08-29	NaN	2015-08-01
US	37828852	R3N3KZ7ZP8HJQV	B003FBG88E	195677102	conair pro styler ionic conditioning hair dryer	Beauty	4	0	0	N	Y	buy this	so far an excellent hair dryer not too noisy good controls the handle is well contoured my only nit is that the little plastic attachment that directs the stream of warm or hot air pops off a little too easily	2015-08-28	NaN	2015-08-01
US	2591476	R1PCG4HG8GZJBE	B007ROD3O2	614083399	salon sundry professional bonnet style hood 1,000 watt salon hair dryer - multiple colors available	Beauty	5	0	0	N	Y	five stars	this item its been working perfectly fine im glad i ordered	2015-08-28	NaN	2015-08-01
US	10881188	R38Q9W9BNZN2C4	B0009XH6V4	670161917	andis micro turbo hair dryer	Beauty	5	0	0	N	Y	great little dryer	it is so hard to find a small blowdryer im very happy with this	2015-08-28	NaN	2015-08-01
US	16209825	R1WXXPRNQWE7Y6	B0009XH6WI	197856712	andis 1600w quiet hangup hair dryer with night light	Beauty	5	0	0	N	Y	perfect	perfect	2015-08-28	NaN	2015-08-01
US	15821693	R3SS843K1CWOIY	B0009XH6TG	47684938	andis 1875-watt fold-n-go ionic hair dryer , silver/black (80020)	Beauty	5	0	0	N	Y	five stars	great dryer	2015-08-28	NaN	2015-08-01
US	22054162	R1CBKQKQYW50UX	B003FBG88E	195677102	conair pro styler ionic conditioning hair dryer	Beauty	5	0	0	N	Y	great blow dryer	looks exactly as in photo light weight and works like a charm would definitely recommend	2015-08-27	NaN	2015-08-01
US	42192723	R3DTN85N6X9SIS	B00006IV22	357308868	conair 1875 watt dual voltage folding handle hair dryer	Beauty	5	0	0	N	Y	great dryer for travel	small and strong great dryer for travel also has dual voltage glad i bought it	2015-08-27	NaN	2015-08-01
US	37151655	R3LY7MANJ71HBW	B004INUY06	303775294	conair infiniti pro 1875 watt salon performance ac motor styling hair dryer with twist folding handle, blue	Beauty	3	37	38	N	Y	this conair is full of air	not as good as the original conair 1875 makeovers and upgrades dont always yield the best results for instance this 1875 replica lacks the basic functions a blow dryer should have such as temperature adjustment there is only a setting for high and low fan speed also in order to use the air only feature with no heat the cooling button has to be pressed and held down to use this basic function this causes a persons fingers to get tired holding a button over using a sliding switch then there is the retracted cord that is missing that was probably the most valuable feature for the original conair 1875 made the dryer much more portable even useful when not traveling now the new 1875 has its cord sprawled all over the bathroom counter the original is much better this is slightly smaller with about 10 watts more power and a directional air controller but overall not worth the investment	2015-08-27	0.9736842105263158	2015-08-01
US	15701257	R24QP0W6EEOHUS	B000RZLL38	983445543	oster tourmaline wall mount hair dryer 76932-710	Beauty	5	0	0	N	Y	was easy to mount on the wall	seems to be working well was easy to mount on the wall	2015-08-27	NaN	2015-08-01
US	47174340	RLQUFMAV4PDJV	B0009XH6V4	670161917	andis micro turbo hair dryer	Beauty	5	2	2	N	Y	petite but powerful performance	this is the 2nd time i bought this little hair dryer because i like it so much my first one finally bit the dust after about 3 years its very small and lightweighta plus for the suitcase but still powerful enough to blow dry my hair fast i have short hair and this sweet little dryer is all i need to dry and style my hairno need for a comb or brush its no frillsonly 2 speedshigh and low but it does exactly what i need it to and it does it fast	2015-08-27	1	2015-08-01
US	50141876	RO9KNA385PZML	B001LQY1X4	748065701	conair 1875 watt mid-size hair dryer	Beauty	5	0	0	N	Y	five stars	no complaints	2015-08-27	NaN	2015-08-01
US	655525	R2XSDRSLLGC750	B001LQY1X4	748065701	conair 1875 watt mid-size hair dryer	Beauty	1	0	0	N	Y	one star	not good	2015-08-27	NaN	2015-08-01
US	42322138	R20ZGQIMYDIS4H	B0009XH6TG	47684938	andis 1875-watt fold-n-go ionic hair dryer , silver/black (80020)	Beauty	5	0	0	N	Y	great hair dryer	powerful lots of fan settings cold air button and best of all a retractable cord i like the folding handle for traveling toogreat product i can blow my hair dry and blow out of here for a quick appointment	2015-08-27	NaN	2015-08-01
US	17346402	R17M5MZ51QMVCK	B000H0XV3G	963066492	vidal sassoon vs547 1875w tourmaline ceramic hair dryer	Beauty	3	0	0	N	Y	so good	so far so good	2015-08-26	NaN	2015-08-01
US	19362492	R3F0HVXSBUC4ZA	B00APV7OWG	443954263	onei mk-ii air ionique hair dryer with ionic generator for professional blowouts	Beauty	1	0	0	N	Y	just annoying to have to deal with this	the cold button stuck on the 2nd use now have to have it replaced just annoying to have to deal with this	2015-08-26	NaN	2015-08-01
US	14658089	RVQC05SNQCV7U	B0009XH6TG	47684938	andis 1875-watt fold-n-go ionic hair dryer , silver/black (80020)	Beauty	1	0	0	N	Y	piece of crap	it broke the third time i used it piece of crap	2015-08-26	NaN	2015-08-01
US	14338649	R2CNQVPGS12Q9U	B00132ZG3U	758099411	conair 1875 watt tourmaline ceramic hair dryer	Beauty	5	0	0	N	Y	five stars	very powerful dries my hair quickly	2015-08-26	NaN	2015-08-01
US	33442218	R2DCN3LVLN029S	B003V264WW	732252283	remington ac2015 t|studio salon collection pearl ceramic hair dryer, deep purple	Beauty	3	0	0	N	Y	three stars	the ends are pink not what i expected	2015-08-26	NaN	2015-08-01
US	17077054	R1VR5BNNT6O42J	B000H0XV3G	963066492	vidal sassoon vs547 1875w tourmaline ceramic hair dryer	Beauty	4	0	0	N	Y	good for the price	its a good hair dryer for the price i do find that it smells like its burning on highhot i use it on warm and low so its just fine for my needsbr i tried a salonsalon hair dryer at a friends house which was fabulous turns out it costs 169 way out of my budget this one will probably last a year and then ill probably buy another sassoon tourmaline ceramic helps keep the fly aways from flying away	2015-08-26	NaN	2015-08-01
US	48160709	R1NRG8W14M4CLG	B00SKQFT4I	593915883	xtava allure 2200w professional ionic ceramic hair dryer - bring the salon to your home with this powerful and precise blow dryer - 2 speeds - 3 heat settings (ebony)	Beauty	5	0	0	N	Y	five stars	this is a great hair dryer with loads of power it feels like a salon dryer	2015-08-26	NaN	2015-08-01
US	48321845	R3L5SKZ80SISVL	B000065DJY	919751065	revlon 1875w volumizing hair dryer	Beauty	2	1	1	N	Y	diffuser made curls frizzy	the diffuser made my curly hair really frizzy and messy	2015-08-26	1	2015-08-01
US	8341992	R14H2YRC78LPRI	B008O1V33A	569841544	professional lightweight hair dryer	Beauty	3	0	0	N	Y	not as hot and powerful as i expected and somehow	not as hot and powerful as i expected and somehow it does not deliver any kind of expected shining usually produced by professional ceramic dryers	2015-08-26	NaN	2015-08-01
US	45005186	R325ASXFQ8D66J	B00006IV22	357308868	conair 1875 watt dual voltage folding handle hair dryer	Beauty	2	0	0	N	Y	disappointed in the packaging	this product arrived in an open box the cord was pushed into the box looked as if it had been returned but it arrived quickly and it works small easy to travel with	2015-08-26	NaN	2015-08-01
US	11160296	RXTB7K8FZ2CUI	B00O0WRO08	486774008	conair 1875 watt cord keeper 2-in-1 hair dryer, black	Beauty	4	0	0	N	Y	not bad	not a bad dryer yes heavy but sleek as can be and doesnt burn my hair	2015-08-25	NaN	2015-08-01
US	44681219	R2B9QSQYIMD9IQ	B00132ZG3U	758099411	conair 1875 watt tourmaline ceramic hair dryer	Beauty	5	0	0	N	Y	mom loves it	i bought this for my girl to keep her from buying another walmart bargain i can tell its quieter than most and she says it dries her hair faster nice lightweight unit ergonomically designed the cleanable filter on the back is a nice feature	2015-08-25	NaN	2015-08-01
US	49305973	R2CWOY8AIVXR78	B00132ZG3U	758099411	conair 1875 watt tourmaline ceramic hair dryer	Beauty	5	0	0	N	Y	five stars	bang for the buck very good good quality	2015-08-25	NaN	2015-08-01
US	47273846	RGCXNOF41RJUV	B003FBG88E	195677102	conair pro styler ionic conditioning hair dryer	Beauty	4	0	0	N	Y	it works	less heat and more blow would be better	2015-08-25	NaN	2015-08-01
US	3856212	R27KFIYH6UN3Z9	B00005O0MZ	694290590	conair corp pers care 146np conair ionic conditioning 1875-watt hair dryer	Beauty	1	0	0	N	Y	one star	it suddenly cant turn on days ago	2015-08-25	NaN	2015-08-01
US	33864168	R2MAVSNJJ62S54	B00SKQFT4I	593915883	xtava allure 2200w professional ionic ceramic hair dryer - bring the salon to your home with this powerful and precise blow dryer - 2 speeds - 3 heat settings (ebony)	Beauty	4	2	2	N	Y	great hairdryer	great hairdryer affordable price delivery was quick like the packaging and the extra hair drying tips you get by email wishing it had a little bit more power in the cool blast but no big deal im pleased that i bought this product to replace my old hairdryer which took 20mins to dry my hair happy to say it has cut the timing of drying my long hair down to 8minutes and leaves my hair smooth enough not to use the ghd hair irons only major downside is that it is quite noisy	2015-08-24	1	2015-08-01
US	47058494	R1VTV0AKB52C9H	B00O0WRO08	486774008	conair 1875 watt cord keeper 2-in-1 hair dryer, black	Beauty	4	1	1	N	Y	i love this hair dryer	i love this hair dryer the available speeds and temperatures are perfect and its the most quiet hair dryer ive ever owned the only drawback for me is the placement of the onoff switch its located at the very bottom of the handle so i have to use two hands to turn it on or off a better design would be to reverse the placement of the buttons so it could be turned onoff easily with my thumb currently the speedtemperature button is easily reached with my thumb but i dont change that very often that is the only reason i didnt give it five stars nevertheless i still highly recommend it and would buy it again	2015-08-24	1	2015-08-01
US	37126096	R1V4NOB6BPAQP7	B0027SU9JU	918034537	revlon 1875w volumizing turbo hair dryer	Beauty	5	0	1	N	Y	great	this dryer is exactly what i wanted very lightweight and does the job	2015-08-24	0	2015-08-01
US	43251367	RJRW0RDNSZ6I1	B00SKQFT4I	593915883	xtava allure 2200w professional ionic ceramic hair dryer - bring the salon to your home with this powerful and precise blow dryer - 2 speeds - 3 heat settings (ebony)	Beauty	5	0	0	N	Y	this is the best dryer i have ever used	this is the best dryer i have ever used it isnt all that quiet and though its not really heavy it is bigger than im used to and so still a bit unwieldy in my unpracticed hands but it dries my thick coarse shoulderlength hair faster than any other device i have ever used it also leaves my hair notably silkier and more manageable than other dryers the allure would seem to offer the benefits of an expensive professional tool at a surprisingly reasonable price hoping it holds up over time and planning to purchase another to keep at my summer cottage	2015-08-24	NaN	2015-08-01
US	43649610	R6TDV0VZY8MJ2	B00132ZG3U	758099411	conair 1875 watt tourmaline ceramic hair dryer	Beauty	5	0	0	N	Y	great product my wife loves it	my wife is very happy with this hair dryer and she has very full thick hair	2015-08-24	NaN	2015-08-01
US	13327551	R19QC4I6XAFVRT	B0026ZD0WM	57056668	sunbeam 1632-040 global economizer hair dryer	Beauty	4	0	0	N	Y	four stars	so far so good	2015-08-24	NaN	2015-08-01
US	139704	R5QPK9FEGOJMS	B0001B86HM	805407843	conair pro styler bonnet hair dryer, white	Beauty	2	1	1	N	Y	two stars	blow holes are only at the top would be great if they were at the sides	2015-08-24	1	2015-08-01
US	17651331	R3ATL80Z74M7OG	B004YZMKKU	258419037	john frieda(r) jf1r 1,875-watt hair dryer	Beauty	3	0	0	N	Y	three stars	never had a blow dryer tangle my hair and make it limp it does get your hair dry slowly	2015-08-24	NaN	2015-08-01
US	139034	R7GF4Y91VF0QF	B001AFFBCG	392681682	revlon 1875w compact travel hair dryer	Beauty	4	0	0	N	Y	four stars	good as expected	2015-08-24	NaN	2015-08-01
US	51376596	R1JPB4C7WUPASJ	B0026ZD0WM	57056668	sunbeam 1632-040 global economizer hair dryer	Beauty	5	0	0	N	Y	quality and good looks	nice quality fairly quiet nice looking and not too big i bought two	2015-08-23	NaN	2015-08-01
US	49909852	RAKZYMW6TR3GS	B003V264WW	732252283	remington ac2015 t|studio salon collection pearl ceramic hair dryer, deep purple	Beauty	3	0	0	N	Y	not as quiet as the reviews said	i was hoping for a quieter blow dryer this is definitely quieter than my other dryer but still not quiet i also read all kinds of reviews that said this dries your hair so its smooth and silky the only thing that makes my hair smooth and silky is product	2015-08-23	NaN	2015-08-01
US	15018460	R1BHICCLA0TLA3	B00BB8ZIW0	253917972	remington silk ceramic professional hair dryer	Beauty	5	0	0	N	Y	five stars	best blow dryer i have purchased in a long time	2015-08-23	NaN	2015-08-01
US	241383	R3MUY94GYQOVXT	B003V264WW	732252283	remington ac2015 t|studio salon collection pearl ceramic hair dryer, deep purple	Beauty	3	0	0	N	Y	three stars	needs an expensive transformer	2015-08-23	NaN	2015-08-01
US	41395106	RX4KK6EUQL2UU	B001AFFBCG	392681682	revlon 1875w compact travel hair dryer	Beauty	5	0	0	N	Y	five stars	i love how compact it is and how amazing it works	2015-08-23	NaN	2015-08-01
US	12121525	R2XBF2DRY15JIU	B00SKQFT4I	593915883	xtava allure 2200w professional ionic ceramic hair dryer - bring the salon to your home with this powerful and precise blow dryer - 2 speeds - 3 heat settings (ebony)	Beauty	5	0	1	N	Y	happy with this purchase	this is a great dryer for the price i havent noticed my strands being shiny or silky but the dryer dries quickly and isnt very loud i appreciate the different heat and speed settings the barrel is longer than most other dryers ive used but it isnt hard to grip or control it is boxed nicely and comes with a diffuser attachment i would recommend this productif you check out the pictures in others reviews youll see they have had luck with smooth shiny hair i have not gotten a chance to use it that much to see results and ive been using texturing product which also isnt conducive to smooth or shiny hair	2015-08-23	0	2015-08-01
US	36636816	R2NIAGVHHIJBYH	B0009XH6TG	47684938	andis 1875-watt fold-n-go ionic hair dryer , silver/black (80020)	Beauty	4	0	0	N	Y	big and heavy	its not that small and quite heavy it works reall well but not really portable or light enough to be a travel dryer	2015-08-23	NaN	2015-08-01
US	31047016	R1EESPDTO6C4EE	B001UE7D2I	127343313	andis 1875-watt tourmaline ceramic ionic styling hair dryer	Beauty	5	0	0	N	Y	five stars	great blow dryer	2015-08-22	NaN	2015-08-01
US	3683375	R3PLPPJMD961Z0	B00O0WRO08	486774008	conair 1875 watt cord keeper 2-in-1 hair dryer, black	Beauty	5	0	0	N	Y	great price great dryer	great for the price glad i didnt spend hundreds like ive seen on others love it	2015-08-22	NaN	2015-08-01
US	143938	R1Q31WY7K8V9JI	B007ROD3AG	614083399	salon sundry professional bonnet style hood 1,000 watt salon hair dryer - multiple colors available	Beauty	1	2	2	N	Y	well they refund my money but i dont recommend this product	a non working product just west of time and energy well they refund my money but i dont recommend this product	2015-08-22	1	2015-08-01
US	5937828	R19CPR1IAL5XFP	B000A3I2X4	235105995	revlon essentials 1875w fast dry hair dryer, rv408	Beauty	5	0	0	N	Y	best ever	best one	2015-08-22	NaN	2015-08-01
US	47871420	R2ULR8J582ZZ07	B003V264WW	732252283	remington ac2015 t|studio salon collection pearl ceramic hair dryer, deep purple	Beauty	3	0	0	N	Y	fairly decent but causes some frustration	this hair dryer is one of the fastest drying hair dryers ive ever used it also looks sleek and professional i like that it comes with multiple attachments to give you the best blow dry you can getbr br i only have a few issues with this particular hair dryer it blows really hard even on the slowest setting the air blows out very forcefully if i need precision drying i have to use the diffuser attachment otherwise my hair gets blown to smithereens another problem is the rocker switch design when im using this the rocker switch controls on the handle are very easy to push and im regularly having to reset my settings after i while this gets very annoyingbr br it seems to be lasting me pretty well ive been using it almost one year and havent had any trouble with its performance i hope it lasts me a few more yearsbr br overall this hair dryer is usable but might cause some frustration	2015-08-22	NaN	2015-08-01
US	13627408	RHF4JD5B0L6D0	B000A3I2X4	235105995	revlon essentials 1875w fast dry hair dryer, rv408	Beauty	5	0	0	N	Y	love it	so far so good	2015-08-22	NaN	2015-08-01
US	32249718	RJ4HTF6UC3JGC	B003V264WW	732252283	remington ac2015 t|studio salon collection pearl ceramic hair dryer, deep purple	Beauty	1	0	0	N	Y	overheated in 2 minutes	over heated in 2 minute we had to return it and had to pay bubble rap to sent it back to amazon good luck if you want to order this through online	2015-08-22	NaN	2015-08-01
US	44761264	R1D72NF092PCWS	B00132ZG3U	758099411	conair 1875 watt tourmaline ceramic hair dryer	Beauty	5	0	0	N	Y	five stars	nice quality	2015-08-21	NaN	2015-08-01
US	46858877	RGVZGNOFRC020	B001AFFBCG	392681682	revlon 1875w compact travel hair dryer	Beauty	4	0	0	N	Y	four stars	it works great and i havent had any issues at all	2015-08-21	NaN	2015-08-01
US	24988312	R187LAPCJM7V4J	B007ROD3AG	614083399	salon sundry professional bonnet style hood 1,000 watt salon hair dryer - multiple colors available	Beauty	1	2	2	N	Y	i purchased the dryer about 9 month ago it	i purchased the dryer about 9 month ago it is alway stay at my home in one place i occasionally used it and never moved it now it can not stand anymore the plastic base and 3 legs are broken i called the customer service and they said the warranty only for 60 days	2015-08-21	1	2015-08-01
US	14698506	R36VT59GYKQGCS	B00SKQFT4I	593915883	xtava allure 2200w professional ionic ceramic hair dryer - bring the salon to your home with this powerful and precise blow dryer - 2 speeds - 3 heat settings (ebony)	Beauty	5	0	2	N	Y	five stars	works great love it	2015-08-21	0	2015-08-01
US	44860250	R2MZ0FT53TI9TL	B0009XH6TG	47684938	andis 1875-watt fold-n-go ionic hair dryer , silver/black (80020)	Beauty	5	0	0	N	Y	five stars	this thing is still going almost a year later	2015-08-21	NaN	2015-08-01
US	17452818	R2CK11D0ILQMVU	B00132ZG3U	758099411	conair 1875 watt tourmaline ceramic hair dryer	Beauty	4	0	0	N	Y	four stars	so far so good	2015-08-21	NaN	2015-08-01
US	44761264	R399N16CXG9PT2	B003V264WW	732252283	remington ac2015 t|studio salon collection pearl ceramic hair dryer, deep purple	Beauty	5	0	0	N	Y	five stars	nice quality	2015-08-21	NaN	2015-08-01
US	11819171	R49CM7C5YRR97	B00006IV22	357308868	conair 1875 watt dual voltage folding handle hair dryer	Beauty	5	0	0	N	Y	best hair dryer	this is one of the best hair dryer you will probably ever find it is very powerful and dries my hair quite quickly plus the folding design makes it easy to stash away in addition its relatively small so its not taking up a ton of room in your suitcase a win all around	2015-08-21	NaN	2015-08-01
US	31892953	R1XV1I003MONZH	B0009XH6V4	670161917	andis micro turbo hair dryer	Beauty	5	0	0	N	Y	perfect little dryer	i love this little hair dryer i have arthritis and the larger dryers are hard to manipulate i also have short thin hair so this little dryer makes it easier to use a roll brush at the same time i wouldnt recommend it for someone with thicker hair as the heat is not as strong or powerful as an 1875 but its great for me	2015-08-20	NaN	2015-08-01
US	831103	R1H4LZNN7KLR95	B00006IV22	357308868	conair 1875 watt dual voltage folding handle hair dryer	Beauty	5	0	0	N	Y	color me surprised	holy cowmaybe its because my old dryer died 6 weeks ago and i havent blow dried since what can i say its hot and im too lazy to fancy up in the summer but wow this thing works fast its cute its small but it packs a punch	2015-08-20	NaN	2015-08-01
US	842081	R16USAHLLXL1G	B001UE7D2I	127343313	andis 1875-watt tourmaline ceramic ionic styling hair dryer	Beauty	4	0	2	N	Y	four stars	the dryer itself was really nice but the packaging could have been better	2015-08-20	0	2015-08-01
US	23884578	R1V6FYMJU478XS	B003FBG88E	195677102	conair pro styler ionic conditioning hair dryer	Beauty	5	0	0	N	Y	five stars	cool speed is perfect for my hair no frizz or dryness	2015-08-20	NaN	2015-08-01
US	38636336	R3QA1QFU9S539H	B000A3I2X4	235105995	revlon essentials 1875w fast dry hair dryer, rv408	Beauty	4	0	0	N	Y	i wish it was a little bit stronger and a	i wish it was a little bit stronger and a little bit hotter but it does the trick i have thick thick hair and my blow drying skills are subpar so in the hands of a skilled person id say 4 stars	2015-08-20	NaN	2015-08-01
US	28629855	R2UITL03LISL5B	B000FS1W4U	235105995	revlon essentials 1875w fast dry hair dryer, rv408	Beauty	5	0	0	N	Y	five stars	its good i like 3 level of heat	2015-08-20	NaN	2015-08-01
US	872130	R3FG3MTAK0NEOM	B003V264WW	732252283	remington ac2015 t|studio salon collection pearl ceramic hair dryer, deep purple	Beauty	3	0	0	N	Y	three stars	great blow dryer just a little more heavy than i expected	2015-08-20	NaN	2015-08-01
US	152043	R2FRB34VLWCLYY	B001QTW2FK	328811288	conair minipro tourmaline ceramic styler / hair dryer; pink	Beauty	5	2	2	N	Y	five stars	i love my hot pink minipro so lightweight and powerful the super cute tote bag is a plus perfect for travel but i use mine everyday i didnt think it would be as good as my big clunky heavy dryer but this little baby gets hot has a lower setting also i have shoulder hand issues and now they dont hurt when i blow dry my hair love it	2015-08-20	1	2015-08-01
US	51642196	R316MKHZLAM8SU	B00SKQFT4I	593915883	xtava allure 2200w professional ionic ceramic hair dryer - bring the salon to your home with this powerful and precise blow dryer - 2 speeds - 3 heat settings (ebony)	Beauty	4	0	0	N	Y	four stars	good hair dryer it can make your hair more straight but its kinda heavy compared to other hair dryers	2015-08-20	NaN	2015-08-01
US	15973330	R3UDNY7MS25YUK	B00006IV22	357308868	conair 1875 watt dual voltage folding handle hair dryer	Beauty	5	0	0	N	Y	five stars	excellent product	2015-08-20	NaN	2015-08-01
US	36049074	R36TL21WUOSB62	B0027SU9JU	918034537	revlon 1875w volumizing turbo hair dryer	Beauty	2	0	1	N	Y	great while it worked	this was a great hair dryerfor 8 months yesterday the heating element stopped working and now it only blows cool air i thought since it was a revlon product and it wasnt cheap that it would last for years i was wrong	2015-08-20	0	2015-08-01
US	10850937	R3HVP5OZQEH6UK	B000H0XV3G	963066492	vidal sassoon vs547 1875w tourmaline ceramic hair dryer	Beauty	5	0	0	N	Y	vidal sasson vs547	i bought this for my sister for her to use it for college it came really fast she loves it and its very affordable thank you 😊	2015-08-20	NaN	2015-08-01
US	1387514	RA5LX3D3TMOXL	B007ROD3O2	614083399	salon sundry professional bonnet style hood 1,000 watt salon hair dryer - multiple colors available	Beauty	5	0	0	N	Y	five stars	i just love it	2015-08-19	NaN	2015-08-01
US	39371412	R3JGMZZGZ157VL	B00132ZG3U	758099411	conair 1875 watt tourmaline ceramic hair dryer	Beauty	5	0	0	N	Y	so light and easy to use	love how light it is and how quickly it dries my hair	2015-08-19	NaN	2015-08-01
